image	type	mode	inode	offset	size	crc32	path	target	extracted_path
image-120000	file	101555	2147483692	4853760	484529	9ffef9f8	usr/bin/openssl		image-120000/usr/bin/openssl
image-120000	file	101555	2147483693	5341184	47312	306c3274	usr/bin/isodigest		image-120000/usr/bin/isodigest
image-120000	file	101555	2147483694	5390336	39293	e6d4056	usr/bin/mcd		image-120000/usr/bin/mcd
image-120000	file	101555	2147483695	5431296	8764	2790597e	usr/bin/inject		image-120000/usr/bin/inject
image-120000	file	101555	2147483696	5443584	8698	1b041b6c	usr/bin/sleep		image-120000/usr/bin/sleep
image-380000	directory	40755	1	0	0	0			
image-380000	directory	40777	548	0	0	0	etc/ppp/peers		
image-380000	directory	40777	543	0	0	0	etc/ppp		
image-380000	empty-file-directory-marker	100666	542	36192	0	0	etc/dbus-1/session.d/		
image-380000	file	100666	493	36192	0	0	proc/boot/server.cfg		image-380000/proc/boot/server.cfg
image-380000	directory	40777	477	0	0	0	usr/share/tracescopes/servicescopes		
image-380000	directory	40777	468	0	0	0	usr/share/tracescopes/hmiscopes		
image-380000	directory	40777	465	0	0	0	usr/share/tracescopes/defaults		
image-380000	directory	40777	464	0	0	0	usr/share/tracescopes		
image-380000	directory	40777	448	0	0	0	usr/share/lua/ToyotaWifiSvcPAL		
image-380000	directory	40777	443	0	0	0	usr/share/lua/ssl		
image-380000	directory	40777	436	0	0	0	usr/share/lua/socket		
image-380000	directory	40777	434	0	0	0	usr/share/lua/services/ContactBackup		
image-380000	directory	40777	433	0	0	0	usr/share/lua/services		
image-380000	directory	40777	427	0	0	0	usr/share/lua/service/TunerService		
image-380000	directory	40777	404	0	0	0	usr/share/lua/service/toyotamanager		
image-380000	directory	40777	402	0	0	0	usr/share/lua/service/toyotaConnMgr		
image-380000	directory	40777	400	0	0	0	usr/share/lua/service/timeMgr		
image-380000	directory	40777	398	0	0	0	usr/share/lua/service/SimpleHandsFree		
image-380000	directory	40777	396	0	0	0	usr/share/lua/service/SetupService		
image-380000	directory	40777	393	0	0	0	usr/share/lua/service/ota		
image-380000	directory	40777	391	0	0	0	usr/share/lua/service/diagnostics		
image-380000	directory	40777	389	0	0	0	usr/share/lua/service/bluetooth/utils		
image-380000	directory	40777	378	0	0	0	usr/share/lua/service/bluetooth/containers		
image-380000	directory	40777	371	0	0	0	usr/share/lua/service/bluetooth		
image-380000	directory	40777	369	0	0	0	usr/share/lua/service/avclanLogger		
image-380000	directory	40777	368	0	0	0	usr/share/lua/service		
image-380000	directory	40777	365	0	0	0	usr/share/lua/pm		
image-380000	directory	40777	351	0	0	0	usr/share/lua/connmgr		
image-380000	directory	40777	350	0	0	0	usr/share/lua/		
image-380000	directory	40777	340	0	0	0	usr/lib/lua/socket		
image-380000	directory	40777	335	0	0	0	usr/lib/lua/omap		
image-380000	directory	40777	333	0	0	0	usr/lib/lua/mime		
image-380000	directory	40777	324	0	0	0	usr/lib/lua		
image-380000	symlink	121777	117	0	0	0	usr/lib/libcurl.so.5	libcurl.so.2	
image-380000	directory	40777	32	0	0	0	lib/air/runtimeSDK/Adobe AIR/Versions/1.0		
image-380000	directory	40777	31	0	0	0	lib/air/runtimeSDK/Adobe AIR/Versions		
image-380000	directory	40777	30	0	0	0	lib/air/runtimeSDK/Adobe AIR		
image-380000	file	100444	546	36192	594	3d12413f	etc/ppp/options.connmgr		image-380000/etc/ppp/options.connmgr
image-380000	file	100444	203	36786	78	9f206bd3	usr/bin/nav/ON/onipc.hbtc		image-380000/usr/bin/nav/ON/onipc.hbtc
image-380000	file	100555	3221225474	36864	121032	955ca0d0	lib/libecpp-ne.so.4		image-380000/lib/libecpp-ne.so.4
image-380000	file	100666	418	157896	1771	535f378c	usr/share/lua/service/toyotamanager/ndr.lua		image-380000/usr/share/lua/service/toyotamanager/ndr.lua
image-380000	file	101777	299	159667	69	693c1e59	usr/bin/bttestClient		image-380000/usr/bin/bttestClient
image-380000	file	100666	463	159736	5	2e8a2d9d	etc/ftpusers		image-380000/etc/ftpusers
image-380000	symlink	120555	3221225475	0	0	0	lib/libecpp-ne.so	libecpp-ne.so.4	
image-380000	file	100555	3221225476	159744	328643	d2861b56	lib/libcpp-ne.so.4		image-380000/lib/libcpp-ne.so.4
image-380000	file	100666	406	488387	3124	64c92bce	usr/share/lua/service/toyotamanager/audioClient.lua		image-380000/usr/share/lua/service/toyotamanager/audioClient.lua
image-380000	symlink	120555	3221225477	0	0	0	lib/libcpp-ne.so	libcpp-ne.so.4	
